00:00|midnight|While they were drinking at the fountain, church clocks began to strike midnight. Missis said gladly, “Oh, Pongo, it’s tomorrow! Now we shall be with our puppies today!”|當他們在噴泉旁喝水時，教堂的鐘聲開始敲響午夜。太太高興地說：「哦，龐哥，已經是明天了！現在我們今天就能和我們的小狗在一起了！」 |The 101 Dalmatians|Dodie Smith|sfw
00:00|midnight|At midnight the entrances were thrown wide, and the rabble, surging in, occupied the quarters assigned to them, from which nothing less than an earthquake or an army with spears could have dislodged them. They dozed the night away on the benches, and breakfasted there; and there the close of the exercises found them, patient and sight-hungry as in the beginning.|在午夜時分，入口被大大敞開，人群蜂擁而入，佔據了分配給他們的區域，除非發生地震或有持矛的軍隊，否則無法將他們驅離。他們在長椅上打盹度過夜晚，也在那裡吃早餐；而當活動結束時，他們仍在那裡，如同一開始那樣耐心而渴望觀看。|Ben-Hur|Lew Wallace|sfw
00:00|midnight|“I thought you asleep,” he said, presently.<br/>“Sleep is for old people and little children, and I came out to look at my friends, the stars in the south—those now holding the curtains of midnight over the Nile. But confess yourself surprised!”|「我還以為你睡著了，」他隨後說。<br/>「睡覺是老人和小孩的事，而我出來是為了看看我的朋友——南方的星星——那些此刻在尼羅河上拉起午夜帷幕的星星。但承認吧，你很驚訝！」|Ben-Hur|Lew Wallace|sfw
00:00|midnight|Ren said, If you go to the football field at midnight on Halloween and say his name three times, his ghost is supposed to appear.|任說，如果你在萬聖節午夜去足球場，並且把他的名字念三次，他的鬼魂就會出現。|Copper River|William Kent Krueger|sfw
00:00|midnight|You, Willi, my friend, said Pastor Fritz softly, you who sit in midnight darkness at midday, is this Jesus Christ a horn of salvation, a light in your darkness?|「你，威利，我的朋友，」弗里茨牧師輕聲說，「你在正午卻坐在午夜的黑暗中，這位耶穌基督對你而言，是救恩的角，還是照亮你黑暗的光？」|Bright Valley of Love|Edna Hong|sfw
00:00|midnight|You take a black cat---isn't that it?---that does not have even one white hair (you know this), and you bind his four paws, and then you take him at midnight to a crossroads and you cry out in a loud voice:|你帶一隻黑貓——不是嗎？——一隻連一根白毛都沒有的黑貓（你知道的），然後把牠的四隻腳綁起來，接著在午夜把牠帶到十字路口，大聲呼喊：|The Name of the Rose|Umberto Eco|unknown
00:00|midnight|And I was the lion you do not remember who pushed the boat in which you lay, a child near death, so that it came to the shore where a man sat, wakeful at midnight, to receive you.|而我正是那隻你不記得的獅子，是我推動了你躺在其中的那艘船，你當時是一個瀕臨死亡的孩子，使它抵達岸邊，那裡有一個人在午夜醒著，準備接住你。|The Horse and His Boy|C.S. Lewis|unknown
00:00|midnight|If Jill had been more used to adventures, she might have doubted the Owl’s word, but this never occurred to her; and in the exciting idea of a midnight escape she forgot her sleepiness.|如果吉兒更習慣冒險，她也許會懷疑貓頭鷹的話，但她從未這樣想過；在午夜逃亡這個令人興奮的念頭中，她忘記了自己的疲倦。|The Silver Chair|C.S. Lewis|unknown
00:00|midnight|“And almost exactly at midnight, the Count’s patience was rewarded. For in accordance with the instructions he’d written to Richard, every telephone on the first floor of the Metropol began to ring.”|「而幾乎就在午夜時分，伯爵的耐心得到了回報。因為按照他寫給理查的指示，大都會飯店一樓的每一部電話都開始響起。」|A Gentleman in Moscow|Amor Towles|unknown
00:00|midnight|“Wins Sibby damn it!” Mr. Hubert said. “Wins Sibby! What the hell else are we setting up till midnight arguing about?”|「西比贏了，該死！」赫伯特先生說。「西比贏了！不然我們為什麼要爭論到午夜？」|Go Down Moses|William Faulkner|nsfw
00:00|Midnight|Midnight, and there was frost on the fields and patches of black ice on a road notorious for its accidents—there were bunches of dead flowers tied to fence posts and telegraph poles, and torn gaps in hedges, like some kind of failed crop.|午夜時分，田野上結了霜，道路上有一片片黑冰，那是一條以事故頻發而聞名的路——圍欄柱和電線桿上綁著一束束枯萎的花，樹籬上有撕裂的缺口，就像某種失敗的作物。|The Body Lies|Jo Baker|unknown
00:00|midnight|The Place St. Sulpice, so quiet and deserted, where toward midnight there came every night the woman with the busted umbrella and the crazy veil. Every night she slept there on a bench under her torn umbrella, the ribs hanging down, her dress turning green, her bony fingers and the odor of decay oozing from her body; and in the morning I’d be sitting there myself, taking a quiet snooze in the sunshine, cursing the god-damned pigeons gathering up the crumbs everywhere.|聖蘇爾皮斯廣場，如此安靜而荒涼，每晚接近午夜時，那個拿著破傘、戴著怪異面紗的女人就會出現。每天晚上她都睡在長椅上，破傘骨架垂下，裙子發綠，枯瘦的手指與腐敗的氣味從她身上滲出；而早晨，我自己會坐在那裡，在陽光下打個小盹，咒罵那些四處撿食麵包屑的該死鴿子。|Tropic of Cancer|Henry Miller|nsfw
00:00|midnight|The house is empty, but Eugene sings as if he had for audience all the crowned heads of Europe. The garden door is open and the odor of wet leaves sops in and the rain blends with Eugene’s 𝘢𝘯𝘨𝘰𝘪𝘴𝘴𝘦 and 𝘵𝘳𝘪𝘴𝘵𝘦𝘴𝘴𝘦. At midnight, after the spectators have saturated the hall with perspiration and foul breaths, I return to sleep on a bench. The exit light, swimming in a halo of tobacco smoke, sheds a faint light on the lower corner of the asbestos curtain; I close my eyes every night on an artificial eye ...|房子是空的，但尤金卻像面對全歐洲的王公貴族一樣歌唱。花園的門開著，濕葉的氣味滲入，雨聲與尤金的𝘢𝘯𝘨𝘰𝘪𝘴𝘴𝘦與𝘵𝘳𝘪𝘴𝘵𝘦𝘴𝘴𝘦交織。在午夜，當觀眾的汗水與污濁的呼吸充滿大廳後，我回到長椅上睡覺。出口燈在煙霧光暈中微微發光，照亮石棉帷幕的下角；我每晚都在一隻人工的眼睛下閉上雙眼……|Tropic of Cancer|Henry Miller|unknown
00:00|midnight|Trevor had on an Andy Warhol costume: blond bobbed wig, thick black glasses, tight striped shirt. My first impression of him was that he was free spirited, clever, funny. That proved to be completely inaccurate. We left the party together and walked around for hours, lied to each other about our happy lives, ate pizza at midnight, took the Staten Island Ferry back and forth and watched the sun rise.|特雷弗穿著安迪·沃荷的裝扮：金色短髮假髮、厚重黑框眼鏡、緊身條紋襯衫。我對他的第一印象是他自由奔放、聰明又幽默。事實證明完全不是這樣。我們一起離開派對，四處走了幾個小時，彼此對各自幸福的生活說謊，在午夜吃披薩，搭乘史泰登島渡輪來回，並看著日出。|My Year of Rest and Relaxation|Ottessa Moshfegh|unknown
00:00|midnight|J. Came to my bed at midnight, and during our athletics, my door was barged. Farcical horror! Thank God J. had locked it on her way in. The doorknob rattled, insistent knocking began. Fear can clear the mind as well as cloud it, and remembering my 𝘋𝘰𝘯 𝘑𝘶𝘢𝘯, I hid J. in a nest of coverlets and sheets in my sagging bed and left the curtain half open to show I had nothing to hide.|J在午夜來到我的床邊，而在我們的運動過程中，我的房門被猛然撞開。滑稽的恐怖！謝天謝地，J進來時把門鎖上了。門把劇烈晃動，急促的敲門聲響起。恐懼既能讓思緒清晰，也能使其混亂，於是我想起我的《唐璜》，把J藏進我下陷床鋪中由被褥與床單堆成的巢裡，並把窗簾半開，表示我沒有什麼可隱藏的。|Cloud Atlas|David Mitchell|nsfw
00:00|midnight|It was an animal thing. A wilderness thing. Nothing about her belonged to her previous self in that moment. Above all her voice. This could have been the high shriek of a hawk, the soul-haunting howl of a wolf, the rasping cry of a red fox at midnight. It could have been any of them, but not the scream of a sixteen-year-old schoolgirl.|那是一種動物性的東西，一種荒野的東西。在那一刻，她身上沒有任何屬於她過去自我的東西。尤其是她的聲音。那聲音可能是鷹的尖叫、狼的嚎叫、或午夜紅狐刺耳的嘶喊。可能是任何一種，但絕不是一個十六歲女學生的尖叫。|The Island of Missing Trees|Elif Shafak|unknown
